PERID,GENDER,COUNTRY_OF_BIRTH,NATIONALITY,RESIGN_DATE,RESIGNED,RESIGNATION_MTH,RESIGNATION_QTR,RESIGNATION_YEAR,AGE,AGE_GROUPING,MARITAL_STATUS,RANK_GRADE,RANK_GROUPING,YEARS_IN_GRADE,STATUS,EMPLOYEE_GROUP,PARENT_SERVICE,SERVICE_SUB_AREA,SERVICE_TYPE,YEARS_OF_SERVICE,VOC,UNIT,NO_OF_KIDS,MIN_CHILD_AGE,AVE_CHILD_AGE,HSP_ESTABLISHMENT,HSP_CERTIFICATE,HSP_CERT_RANK,HSP_CERT_DESC,UPGRADED_LAST_3_YRS,UPGRADED_CERT_3_YRS,UPGRADED_CERT_DESC_3_YRS,MARRIED_WITHIN_2_YEARS,DIVORCE_WITHIN_2_YEARS,DIVORCE_REMARRIED_WITHIN_2_YEARS,PROMO_LAST_5_YRS,PROMO_LAST_4_YRS,PROMO_LAST_3_YRS,PROMO_LAST_2_YRS,PROMO_LAST_1_YR,UNIT_CHG_LAST_3_YRS,UNIT_CHG_LAST_2_YRS,UNIT_CHG_LAST_1_YR,AWARDS_RECEIVED,HOUSING_TYPE,HOUSING_GROUP,HOUSING_RANK,PREV_HOUSING_TYPE,MOVE_HOUSE_T_2,HOUSE_UPG_DGRD,IPPT_SCORE,PES_SCORE,HOMETOWORKDIST,SVC_INJURY_TYPE,TOT_PERC_INC_LAST_1_YR,BAS_PERC_INC_LAST_1_YR
10000078,Male,Singapore,Singaporean,NA,0,NA,NA,NA,53,40 and Above,Divorc,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE C,SERVICE C,MDES,34.58333333,VOCATION 154,UNIT 222,2,17,19,Diploma,Diploma,6,DIPLOMA IN PERSONNEL MANAGEMENT,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,5,4-ROOM,PUBLIC,4,NONE,NO,0,1,3,8.33,0,-7.796319815,5.962875739
10000080,Male,Singapore,Singaporean,01/12/2012,1,12,Q4,2012,54,40 and Above,Marr.,RANK 22,MIDDLE ME,2,WITHDRAWN,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,35.66666667,VOCATION 31,UNIT 52,1,27,27,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,2,5-ROOM,PUBLIC,5,PRIVATE NON-LANDED,YES,-2,0,3,8.64,0,-9.821118787,-16.66475942
10000082,Male,Singapore,Singaporean,NA,0,NA,NA,NA,54,40 and Above,Marr.,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE C,SERVICE C,MDES,36.58333333,VOCATION 154,UNIT 224,2,29,31,Diploma,Diploma,6,DIPLOMA IN SUPERVISORY MANAGEMENT,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,4,5-ROOM,PUBLIC,5,NONE,NO,0,2,3,17.23960153,0,-15.00013734,5.836272717
10000083,Male,Singapore,Singaporean,NA,0,NA,NA,NA,41,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,2,ACTIVE,MILITARY REGULARS,SERVICE B,SERVICE B,SAVER-EOS,22.25,VOCATION 251,UNIT 10,1,6,6,University,Master,10,MASTER OF SCIENCE IN COMBAT SYSTEMS SCIENCES & TECHNOLOGY (WITH DISTINCTION),NO,NONE,NONE,NO,NO,NO,1,1,1,0,0,YES,YES,YES,1,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,2,3,23.21,1,-8.102120802,11.20488969
10000084,Male,Singapore,Singaporean,NA,0,NA,NA,NA,44,40 and Above,Marr.,RANK 21,JUNIOR ME,3,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,23.91666667,VOCATION 59,UNIT 304,1,11,11,Technical Education,ITE/Poly Certificate,5,MOTOR VEHICLE MECHANICAL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,2,4-ROOM,PUBLIC,4,NONE,NO,0,0,3,2.38,0,-0.707986503,7.495424877
10000085,Male,Singapore,Singaporean,NA,0,NA,NA,NA,42,40 and Above,Marr.,RANK 22,MIDDLE ME,2,ACTIVE,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,23.91666667,VOCATION 12,UNIT 109,2,0,1.5,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,1,1,1,0,0,YES,YES,NO,1,5-ROOM,PUBLIC,5,NONE,NO,0,1,4,19.9,0,-19.40650979,9.963877041
10000086,Male,Singapore,Singaporean,NA,0,NA,NA,NA,44,40 and Above,Marr.,RANK 18,MIDDLE OFFICER,4,ACTIVE,MILITARY REGULARS,SERVICE B,SERVICE B,SAVER-EOS,21.5,VOCATION 299,UNIT 273,3,8,12,Diploma,Diploma,6,DIPLOMA IN ELECTRONIC ENGINEERING,NO,NONE,NONE,NO,NO,NO,1,0,0,0,0,YES,YES,NO,1,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,2,3,29.18,1,-10.68522762,10.24039119
10000087,Male,Singapore,Singaporean,02/08/2013,1,8,Q3,2013,41,40 and Above,Single,RANK 21,JUNIOR ME,3,WITHDRAWN,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,22.66666667,VOCATION 236,UNIT 336,0,0,0,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,YES,3,3-ROOM,PUBLIC,3,NONE,NO,0,1,5,17.23960153,0,-0.093817273,7.487220647
10000088,Male,Singapore,Singaporean,NA,0,NA,NA,NA,43,40 and Above,Single,RANK 30,MIDDLE WOSE,6,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,20.66666667,VOCATION 275,UNIT 135,0,0,0,Technical Education,ITE/Poly Certificate,5,FOOD PRODUCTION,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,YES,1,4-ROOM,PUBLIC,4,NONE,NO,0,0,5,17.23960153,0,-29.05464738,-23.41965684
10000089,Male,Singapore,Singaporean,NA,0,NA,NA,NA,41,40 and Above,Marr.,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,23.58333333,VOCATION 12,UNIT 115,0,0,0,Diploma,Diploma,6,DIPLOMA IN MECHANICAL ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,NO,2,5-ROOM,PUBLIC,5,NONE,NO,0,3,4,12.15,0,6.812247232,6.913935138
10000090,Male,Singapore,Singaporean,01/08/2011,1,8,Q3,2011,39,36 to 40,Marr.,RANK 22,MIDDLE ME,1,WITHDRAWN,NATIONAL SERVICEMEN,SERVICE A,SERVICE A,MDES,12.66666667,VOCATION 236,UNIT 374,3,4,7.333333333,Secondary,GCE 'N' Level,3,GCE 'N' LEVEL,NO,NONE,NONE,NO,NO,NO,1,1,1,1,0,YES,YES,NO,1,EXECUTIVE,PUBLIC,6,NONE,NO,0,1,3,8.95,0,0,0
10000092,Male,Singapore,Singaporean,NA,0,NA,NA,NA,41,40 and Above,Marr.,RANK 31,SENIOR WOSE,0,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,22.83333333,VOCATION 125,UNIT 241,1,6,6,Technical Education,ITE/Poly Certificate,5,CERTIFICATE IN BUSINESS MANAGEMENT,YES,ITE/Poly Certificate,CERTIFICATE IN BUSINESS MANAGEMENT,NO,NO,NO,2,1,1,1,1,YES,YES,YES,5,4-ROOM,PUBLIC,4,NONE,NO,0,2,5,17.23960153,0,-27.79691137,-21.18809678
10000094,Male,Singapore,Singaporean,NA,0,NA,NA,NA,41,40 and Above,Marr.,RANK 18,MIDDLE OFFICER,7,ACTIVE,MILITARY REGULARS,SERVICE A,SERVICE A,SAVER-EOS,21.66666667,VOCATION 203,UNIT 258,2,4,5,Pre University,GCE 'A' Level,6,GCE 'A' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,NO,NO,1,HUDC,PUBLIC,6,NONE,NO,0,1,4,22.56,0,-11.6384022,10.05242741
10000095,Male,Singapore,Singaporean,NA,0,NA,NA,NA,44,40 and Above,Marr.,RANK 18,MIDDLE OFFICER,7,ACTIVE,MILITARY REGULARS,SERVICE B,SERVICE B,SAVER-EOS,22.66666667,VOCATION 78,UNIT 273,1,6,6,Diploma,Diploma,6,DIPLOMA IN BUSINESS ADMINISTRATION,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,1,5-ROOM,PUBLIC,5,NONE,NO,0,0,3,13.59,0,-22.4759754,9.896170768
10000096,Male,Singapore,Singaporean,NA,0,NA,NA,NA,42,40 and Above,Marr.,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,24.58333333,VOCATION 12,UNIT 111,2,13,15,Diploma,Advanced Diploma,7,ADVANCED DIPLOMA IN AEROSPACE ENGINEERING & MANAGEMENT,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,YES,3,4-ROOM,PUBLIC,4,NONE,NO,0,2,3,21.69,0,-4.865977237,13.50190587
10000097,Male,Singapore,Singaporean,NA,0,NA,NA,NA,40,36 to 40,Marr.,RANK 18,MIDDLE OFFICER,8,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE D,SAVER-EOS,21.33333333,VOCATION 129,UNIT 215,2,6,8.5,University,Pass Degree,8,BACHELOR OF ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,YES,1,5-ROOM,PUBLIC,5,NONE,NO,0,2,4,5.13,0,-10.92178983,10.0081122
10000098,Male,Singapore,Singaporean,NA,0,NA,NA,NA,40,36 to 40,Marr.,RANK 22,MIDDLE ME,0,ACTIVE,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,22.58333333,VOCATION 12,UNIT 112,2,0,3.5,Diploma,Diploma,6,DIPLOMA IN MECHANICAL ENGINEERING,NO,NONE,NONE,NO,NO,NO,1,1,1,1,1,YES,YES,YES,2,4-ROOM,PUBLIC,4,NONE,NO,0,0,3,6.33,0,-18.12252382,6.133266696
10000099,Male,Singapore,Singaporean,NA,0,NA,NA,NA,40,36 to 40,Marr.,RANK 18,MIDDLE OFFICER,5,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,SAVER-EOS,15.25,VOCATION 109,UNIT 241,2,9,10,University,Pass Degree,8,BACHELOR OF BUSINESS ADMINISTRATION,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,NO,1,PRIVATE NON-LANDED,PRIVATE,7,EXECUTIVE,YES,1,2,1,17.23960153,0,-14.73853758,9.936281515
10000100,Male,Singapore,Singaporean,NA,0,NA,NA,NA,43,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,3,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE B,SAVER-EOS,24.66666667,VOCATION 77,UNIT 388,2,4,11.5,University,Honours Degree,9,BACHELOR OF ENGINEERING (SECOND CLASS HONOURS (LOWER)),NO,NONE,NONE,NO,NO,NO,1,1,0,0,0,YES,NO,NO,2,5-ROOM,PUBLIC,5,NONE,NO,0,2,4,24.59,0,-11.25924699,10.94675692
10000104,Male,Singapore,Singaporean,NA,0,NA,NA,NA,45,40 and Above,Marr.,RANK 21,JUNIOR ME,3,ACTIVE,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,3.916666667,VOCATION 18,UNIT 89,0,0,0,Diploma,Diploma,6,DIPLOMA IN ELECTRICAL ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,NO,1,3-ROOM,PUBLIC,3,NONE,NO,0,0,3,22.79,0,-11.77226412,7.489157693
10000107,Male,Singapore,Singaporean,NA,0,NA,NA,NA,45,40 and Above,Marr.,RANK 18,MIDDLE OFFICER,11,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,Full CPF (SAVER-EOS),21.41666667,VOCATION 109,UNIT 190,2,3,5,University,Honours Degree,9,BACHELOR OF SCIENCE (THIRD CLASS HONOURS),NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,1,EXECUTIVE,PUBLIC,6,NONE,NO,0,0,3,21.51,1,-1.824427874,5.548442746
10000111,Male,Singapore,Singaporean,NA,0,NA,NA,NA,45,40 and Above,Marr.,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE B,SERVICE A,MDES,20.08333333,VOCATION 236,UNIT 20,3,12,14,Diploma,Diploma,6,DIPLOMA IN SUPERVISORY MANAGEMENT,YES,Diploma,SPECIALIST DIPLOMA IN LEARNING SCIENCE,NO,NO,NO,0,0,0,0,0,YES,YES,YES,1,5-ROOM,PUBLIC,5,NONE,NO,0,2,3,17.23960153,0,-0.655092668,6.79228272
10000112,Male,Singapore,Singaporean,NA,0,NA,NA,NA,46,40 and Above,Marr.,RANK 5,MIDDLE WOSE,7,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,22,VOCATION 112,UNIT 190,1,13,13,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,1,4-ROOM,PUBLIC,4,NONE,NO,0,1,5,17.23960153,0,-27.08620717,-22.01976763
10000115,Male,Singapore,Singaporean,NA,0,NA,NA,NA,51,40 and Above,Marr.,RANK 23,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE E,COMMON,MDES,27.66666667,VOCATION 162,UNIT 314,2,17,19,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,5,4-ROOM,PUBLIC,4,NONE,NO,0,1,3,17.23960153,0,-1.813128256,8.206029102
10000116,Male,Singapore,Singaporean,NA,0,NA,NA,NA,51,40 and Above,Marr.,RANK 23,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE C,SERVICE D,MDES,32.16666667,VOCATION 163,UNIT 222,3,21,23,Technical Education,ITE/Poly Certificate,5,TECHNICIAN CERTIFICATE IN MARITIME RADIOCOMMUNICATION,NO,NONE,NONE,NO,NO,NO,1,0,0,0,0,YES,NO,NO,6,5-ROOM,PUBLIC,5,NONE,NO,0,3,4,8.41,0,-1.039872904,7.337399585
10000117,Male,Singapore,Singaporean,NA,0,NA,NA,NA,52,40 and Above,Marr.,RANK 2,MIDDLE WOSE,13,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,34.83333333,VOCATION 70,UNIT 128,2,22,23.5,Secondary,GCE 'N' Level,3,GCE 'N' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,3,5-ROOM,PUBLIC,5,NONE,NO,0,1,3,14.05,0,-29.94522965,-25.04310947
10000118,Male,Singapore,Singaporean,NA,0,NA,NA,NA,52,40 and Above,Marr.,RANK 31,SENIOR WOSE,2,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,30.66666667,VOCATION 115,UNIT 126,3,16,19.66666667,Diploma,Diploma,6,SPECIALIST DIPLOMA IN LEARNING AND INSTRUCTION,YES,Diploma,SPECIALIST DIPLOMA IN LEARNING AND INSTRUCTION,NO,NO,NO,1,1,1,0,0,NO,NO,NO,4,EXECUTIVE,PUBLIC,6,NONE,NO,0,1,1,4.57,0,-31.81034162,-22.80297209
10000119,Male,Singapore,Singaporean,NA,0,NA,NA,NA,48,40 and Above,Marr.,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,24.75,VOCATION 59,UNIT 136,2,5,6,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,1,4-ROOM,PUBLIC,4,NONE,NO,0,2,4,17.23960153,0,-8.902648561,6.709349522
10000120,Male,Singapore,Singaporean,NA,0,NA,NA,NA,52,40 and Above,Marr.,RANK 31,SENIOR WOSE,3,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,34.83333333,VOCATION 94,UNIT 401,1,25,25,Primary,PSLE/PSPE,2,NOT AVAILABLE,NO,NONE,NONE,NO,NO,NO,1,1,0,0,0,NO,NO,NO,4,EXECUTIVE,PUBLIC,6,NONE,NO,0,1,4,5.08,1,-28.07824062,-23.16019729
10000122,Male,Singapore,Singaporean,02/02/2011,1,2,Q1,2011,47,40 and Above,Single,RANK 2,MIDDLE WOSE,1,WITHDRAWN,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,26.75,VOCATION 125,UNIT 290,0,0,0,Technical Education,NTC2/NITEC,5,AUTOMOTIVE TECHNOLOGY(LIGHT VEHICLES),NO,NONE,NONE,NO,NO,NO,1,1,1,1,0,YES,YES,YES,3,3-ROOM,PUBLIC,3,NONE,NO,0,3,5,7.67,0,0,0
10000127,Male,Singapore,Singaporean,NA,0,NA,NA,NA,41,40 and Above,Marr.,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,15.08333333,VOCATION 236,UNIT 233,0,0,0,Secondary,GCE 'N' Level,3,GCE 'N' LEVEL,NO,NONE,NONE,NO,NO,NO,1,1,0,0,0,YES,YES,YES,3,3-ROOM,PUBLIC,3,NONE,NO,0,1,3,18.57,2,1.48806198,8.423837954
10000128,Male,Singapore,Singaporean,NA,0,NA,NA,NA,42,40 and Above,Marr.,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,21.41666667,VOCATION 236,UNIT 334,0,0,0,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,YES,NO,NO,1,0,0,0,0,YES,YES,YES,2,3-ROOM,PUBLIC,3,NONE,NO,0,1,4,18.55,0,-17.79920422,7.950651567
10000129,Male,Singapore,Singaporean,NA,0,NA,NA,NA,43,40 and Above,Marr.,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,23.16666667,VOCATION 236,UNIT 376,2,11,12,Diploma,Diploma,6,DIPLOMA IN MARINE ENGINEERING,NO,NONE,NONE,NO,NO,NO,1,1,0,0,0,NO,NO,NO,1,EXECUTIVE,PUBLIC,6,NONE,NO,0,2,3,9.06,0,-7.772408929,7.179325353
10000133,Male,Singapore,Singaporean,NA,0,NA,NA,NA,42,40 and Above,Marr.,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,23.58333333,VOCATION 12,UNIT 110,2,8,9,Diploma,Advanced Diploma,7,ADVANCED DIPLOMA IN QUALITY ENGINEERING AND MANAGEMENT,NO,NONE,NONE,NO,NO,NO,1,1,0,0,0,YES,YES,NO,1,EXECUTIVE,PUBLIC,6,4-ROOM,YES,2,1,3,13.73,0,-18.31537134,10.30563577
10000134,Male,Singapore,Singaporean,NA,0,NA,NA,NA,40,36 to 40,Marr.,RANK 18,MIDDLE OFFICER,2,ACTIVE,MILITARY REGULARS,SERVICE B,SERVICE B,SAVER-EOS,17.16666667,VOCATION 80,UNIT 194,0,0,0,Diploma,Diploma,6,DIPLOMA IN MANUFACTURING ENGINEERING,NO,NONE,NONE,NO,NO,NO,1,1,1,0,0,NO,NO,NO,1,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,2,4,8.79,0,-14.22477588,13.49678257
10000135,Male,Singapore,Singaporean,NA,0,NA,NA,NA,40,36 to 40,Marr.,RANK 18,MIDDLE OFFICER,3,ACTIVE,MILITARY REGULARS,SERVICE A,SERVICE A,SAVER-EOS,18.91666667,VOCATION 203,UNIT 274,2,7,9.5,Diploma,Diploma,6,DIPLOMA IN ELECTRONIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000136,Male,Singapore,Singaporean,NA,0,NA,NA,NA,41,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,1,ACTIVE,MILITARY REGULARS,SERVICE A,SERVICE A,SAVER-EOS,18,VOCATION 203,UNIT 409,0,0,0,Diploma,Diploma,6,DIPLOMA IN NAUTICAL STUDIES,NO,NONE,NONE,YES,NO,NO,1,1,1,1,0,NO,NO,NO,5,5-ROOM,PUBLIC,5,5-ROOM,YES,0,0,4,20.74,1,-14.2775128,13.18987364
10000138,Male,Singapore,Singaporean,NA,0,NA,NA,NA,43,40 and Above,Divorc,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE C,SERVICE C,MDES,24.91666667,VOCATION 154,UNIT 222,1,3,3,Diploma,Diploma,6,DIPLOMA IN MULTIMEDIA AND INFOCOMM TECHNOLOGY,NO,NONE,NONE,NO,YES,NO,0,0,0,0,0,NO,NO,NO,3,3-ROOM,PUBLIC,3,5-ROOM,YES,-2,2,3,18.67,0,-7.845868367,6.555360623
10000139,Male,Singapore,Singaporean,18/02/2012,1,2,Q1,2012,40,36 to 40,Marr.,RANK 2,MIDDLE WOSE,1,WITHDRAWN,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,20.08333333,VOCATION 94,UNIT 402,2,8,10,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,1,1,1,1,0,NO,NO,NO,3,5-ROOM,PUBLIC,5,NONE,NO,0,3,4,17.23960153,2,-5.116992779,-18.14523017
10000140,Male,Singapore,Singaporean,NA,0,NA,NA,NA,41,40 and Above,Marr.,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,24.58333333,VOCATION 236,UNIT 39,2,2,6,Diploma,Diploma,6,DIPLOMA IN ELECTRONICS AND COMMUNICATION ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,NO,1,4-ROOM,PUBLIC,4,OVERSEAS,YES,0,3,1,22.13,0,4.496340161,6.839053848
10000143,Male,Singapore,Singaporean,NA,0,NA,NA,NA,42,40 and Above,Marr.,RANK 22,MIDDLE ME,1,ACTIVE,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,23.66666667,VOCATION 236,UNIT 413,2,3,4,Technical Education,NTC2/NITEC,5,MARINE MECHANICAL,NO,NONE,NONE,NO,NO,NO,1,1,1,1,0,YES,YES,YES,2,LANDED,PRIVATE,8,EXECUTIVE,YES,2,1,5,38.62,0,-6.246652227,8.851577177
10000144,Male,Singapore,Singaporean,NA,0,NA,NA,NA,41,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,1,ACTIVE,MILITARY REGULARS,SERVICE B,SERVICE B,SAVER-EOS,22.41666667,VOCATION 251,UNIT 242,1,9,9,University,Honours Degree,9,BACHELOR OF ENGINEERING (SECOND CLASS HONOURS (LOWER)),NO,NONE,NONE,NO,NO,NO,1,1,1,1,0,YES,YES,YES,1,LANDED,PRIVATE,8,NONE,NO,0,2,5,29.79,0,-15.09906183,9.783496615
10000145,Male,Singapore,Singaporean,NA,0,NA,NA,NA,42,40 and Above,Marr.,RANK 5,MIDDLE WOSE,7,ACTIVE,MILITARY REGULARS,SERVICE B,SERVICE B,PP-EWOS,23.41666667,VOCATION 6,UNIT 36,2,14,16,Technical Education,ITC/Higher NITEC,5,HIGHER NATIONAL ITE CERTIFICATE IN ELECTRONICS ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,NO,1,4-ROOM,PUBLIC,4,PRIVATE NON-LANDED,YES,-3,1,3,32.45,0,-30.59893358,-23.10367715
10000146,Male,Singapore,Singaporean,NA,0,NA,NA,NA,44,40 and Above,Marr.,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,24.16666667,VOCATION 12,UNIT 124,1,8,8,Diploma,Diploma,6,DIPLOMA IN MECHANICAL ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,NO,1,4-ROOM,PUBLIC,4,NONE,NO,0,1,3,6.06,0,-7.221099713,7.101372369
10000147,Male,Singapore,Singaporean,NA,0,NA,NA,NA,40,36 to 40,Marr.,RANK 5,MIDDLE WOSE,5,ACTIVE,MILITARY REGULARS,SERVICE A,SERVICE A,PP-EWOS,22.08333333,VOCATION 196,UNIT 172,1,4,4,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,2,5-ROOM,PUBLIC,5,NONE,NO,0,3,5,6.5,0,-27.73964683,-21.01495643
10000148,Male,Singapore,Singaporean,NA,0,NA,NA,NA,46,40 and Above,Marr.,RANK 28,SENIOR ME,3,ACTIVE,MILITARY REGULARS,SERVICE C,SERVICE D,MDES,27.16666667,VOCATION 163,UNIT 222,2,11,14.5,University,Master,10,MASTER OF SCIENCE,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,NO,NO,4,LANDED,PRIVATE,8,NONE,NO,0,2,3,10.98,1,-19.32566522,6.052322261
10000151,Male,Singapore,Singaporean,01/05/2012,1,5,Q2,2012,45,40 and Above,Marr.,RANK 22,MIDDLE ME,2,WITHDRAWN,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,25.91666667,VOCATION 12,UNIT 152,2,18,19.5,Diploma,Diploma,6,DIPLOMA IN ELECTRONIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000152,Male,Singapore,Singaporean,NA,0,NA,NA,NA,45,40 and Above,Marr.,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,24.33333333,VOCATION 168,UNIT 380,0,0,0,Technical Education,NTC2/NITEC,5,NATIONAL ITE CERTIFICATE IN NURSING (CERTIFICATE OF MERIT),NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,6,4-ROOM,PUBLIC,4,NONE,NO,0,1,3,19.59,1,-2.80594229,6.80806621
10000153,Male,Singapore,Singaporean,04/10/2010,1,10,Q4,2010,43,40 and Above,Marr.,RANK 10,SENIOR OFFICER,6,ACTIVE,NATIONAL SERVICEMEN,SERVICE E,SERVICE C,SAVER-EOS,24.5,VOCATION 44,UNIT 295,2,10,11.5,University,Master,10,MASTER OF DEFENCE STUDIES,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,4,LANDED,PRIVATE,8,NONE,NO,0,3,5,13.38,0,0,0
10000154,Male,Singapore,Singaporean,NA,0,NA,NA,NA,46,40 and Above,Marr.,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,26.16666667,VOCATION 236,UNIT 413,2,16,18,Technical Education,ITE/Poly Certificate,5,ELECTRICAL FITTING AND INSTALLATION(DOMESTIC),NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,NO,3,5-ROOM,PUBLIC,5,NONE,NO,0,1,4,38.99,0,4.928591493,7.169364635
10000158,Male,Singapore,Singaporean,NA,0,NA,NA,NA,49,40 and Above,Marr.,RANK 18,MIDDLE OFFICER,14,ACTIVE,MILITARY REGULARS,SERVICE B,SERVICE B,Full CPF (SAVER-EOS),24.91666667,VOCATION 76,UNIT 11,1,17,17,Diploma,Diploma,6,DIPLOMA IN SHIPBUILDING AND OFFSHORE ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,2,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,2,5,23.28,0,-18.36251171,4.980236266
